Species,Fishing.Area,Month,Weight.g,Length.cm,Width.cm,Height.cm,Age.years,Quality.Score,Season.Availability,Cost.TL,Wind.Speed.kmh,Sea.Surface.Temp.C,Active.Fishing.Days,Production.Volume.tonnes,Fishing.Ban.Flag,Price.TL
Palamut (Bonito),Black Sea,2,778.38,44.16,6.03,5.86,2,89.0,0.65,72.17,70.56,18.04,10,1779.13,0,372.39
Palamut (Bonito),Black Sea,10,755.44,43.35,5.71,5.73,14,89.85,0.71,55.59,58.84,20.48,11,1791.53,0,313.26
Çipura (Sea Bream),Aegean Sea,7,514.14,28.65,4.05,3.54,15,85.78,0.97,55.12,51.48,19.46,13,1966.72,0,363.88
İstavrit (Horse Mackerel),Aegean Sea,12,331.89,16.89,3.5,2.81,16,90.14,0.67,40.68,32.95,22.14,20,4270.14,0,249.06
Çipura (Sea Bream),Marmara Sea,8,509.02,28.07,4.47,4.03,8,95.69,0.96,50.34,61.31,23.45,12,1796.95,0,446.1
Palamut (Bonito),Mediterranean Sea,4,745.69,44.01,5.19,5.4,10,86.6,0.48,62.78,19.14,17.22,26,3170.29,0,304.76
Kalkan (Turbot),Aegean Sea,11,603.76,36.86,5.03,4.51,17,90.47,0.48,69.79,22.25,14.87,24,4138.33,0,180.0
Lüfer (Bluefish),Black Sea,1,691.28,38.07,5.24,4.84,10,96.75,0.71,61.82,26.26,21.39,22,4825.13,0,310.16
Kalkan (Turbot),Aegean Sea,10,665.28,37.39,5.09,5.04,15,86.27,0.56,49.44,37.49,18.66,19,3717.03,0,259.44
Palamut (Bonito),Aegean Sea,5,670.9,40.51,5.02,5.42,9,76.22,0.41,62.76,36.42,19.33,15,1980.04,1,270.92
Çipura (Sea Bream),Black Sea,8,406.77,23.72,3.61,2.9,6,100.0,0.88,42.51,12.72,20.3,25,4364.97,0,366.07
Hamsi (Anchovy),Black Sea,9,106.57,7.4,1.2,0.27,12,86.88,0.64,30.51,40.39,16.46,15,3026.21,0,225.82
Lüfer (Bluefish),Black Sea,11,680.78,37.63,6.18,5.64,7,100.0,0.97,60.33,59.37,10.13,11,778.4,0,492.38
Çipura (Sea Bream),Black Sea,2,370.11,23.86,3.17,3.11,11,94.73,0.56,42.04,26.71,10.41,22,4832.37,0,202.93
Lüfer (Bluefish),Mediterranean Sea,4,532.42,31.04,4.03,4.85,11,95.39,0.67,66.0,16.46,19.64,22,3098.56,0,263.43
Palamut (Bonito),Aegean Sea,3,514.62,27.52,3.89,4.22,11,88.71,0.62,61.75,42.4,13.9,19,2287.96,0,307.8
Kalkan (Turbot),Mediterranean Sea,8,713.47,41.19,5.06,5.81,7,90.2,0.69,58.15,14.66,21.77,25,2046.66,0,381.62
Lüfer (Bluefish),Aegean Sea,4,695.17,40.52,5.92,4.95,9,94.34,0.6,53.63,55.21,20.0,16,1517.81,0,350.41
Lüfer (Bluefish),Marmara Sea,5,612.63,34.36,4.68,4.08,2,100.0,0.55,54.53,74.07,12.08,10,1747.46,0,339.77
Lüfer (Bluefish),Aegean Sea,6,481.72,29.17,4.01,3.87,10,90.57,0.32,62.93,53.89,18.14,14,2124.2,0,258.49
Palamut (Bonito),Black Sea,4,573.43,31.92,4.81,4.96,2,91.59,0.71,60.68,74.5,21.99,10,1078.4,0,402.18
Levrek (Sea Bass),Mediterranean Sea,1,649.4,38.51,5.23,5.13,17,87.68,0.68,54.08,22.41,21.06,23,4407.3,0,230.36
Palamut (Bonito),Black Sea,1,588.5,33.3,4.53,5.33,12,82.21,0.43,51.75,10.73,19.46,28,5000.0,0,199.8
Levrek (Sea Bass),Black Sea,3,591.93,35.4,5.21,4.84,11,84.99,0.7,58.53,55.67,12.81,15,1332.16,0,304.02
Levrek (Sea Bass),Marmara Sea,12,693.26,38.75,4.75,5.46,10,98.86,0.54,69.65,10.06,24.71,28,3650.8,0,281.95
Levrek (Sea Bass),Aegean Sea,12,684.53,39.4,4.91,5.81,4,100.0,0.45,49.61,63.23,12.67,11,1918.49,0,332.3
Hamsi (Anchovy),Marmara Sea,12,178.03,11.55,1.42,1.36,19,97.85,0.96,24.71,56.78,22.96,13,956.55,0,335.11
Hamsi (Anchovy),Black Sea,3,146.12,9.01,0.9,2.0,12,94.14,0.65,37.69,21.65,17.42,23,3516.14,0,247.82
Lüfer (Bluefish),Aegean Sea,11,579.55,33.23,4.62,4.9,13,85.38,0.96,66.85,13.34,22.04,27,3578.69,0,402.49
Levrek (Sea Bass),Black Sea,12,613.5,37.73,4.99,4.74,2,100.0,0.61,55.43,21.89,17.15,25,4144.37,0,317.6
Lüfer (Bluefish),Mediterranean Sea,10,691.76,40.18,5.24,4.51,10,89.28,0.93,50.47,73.77,16.75,10,1394.91,0,487.21
Lüfer (Bluefish),Aegean Sea,1,461.89,26.58,3.3,3.24,14,90.98,0.48,46.23,64.82,23.61,10,1593.03,0,232.09
İstavrit (Horse Mackerel),Mediterranean Sea,8,226.22,11.7,0.79,1.7,12,100.0,0.55,46.73,58.33,19.07,12,939.72,0,205.08
Levrek (Sea Bass),Black Sea,11,596.59,35.88,5.08,4.7,7,97.59,0.63,69.0,48.78,8.9,15,1404.77,0,344.01
Çipura (Sea Bream),Mediterranean Sea,5,422.56,25.22,3.51,3.2,17,93.24,0.39,42.97,28.74,26.57,24,5000.0,0,180.0
Levrek (Sea Bass),Black Sea,11,471.45,27.06,3.05,4.09,17,94.49,0.45,43.67,11.64,14.59,28,5000.0,0,180.0
Levrek (Sea Bass),Mediterranean Sea,8,532.88,34.23,3.93,4.15,14,100.0,0.59,64.7,7.01,22.79,25,2082.95,0,296.38
Levrek (Sea Bass),Aegean Sea,6,565.59,30.46,4.62,4.7,11,100.0,0.52,58.73,11.78,18.24,26,5000.0,0,252.88
Lüfer (Bluefish),Marmara Sea,7,681.7,38.48,5.58,5.1,4,83.35,0.71,59.63,71.1,13.05,10,1756.92,0,386.55
Palamut (Bonito),Marmara Sea,2,666.15,39.08,5.24,4.91,15,76.23,0.6,65.89,70.93,23.27,10,1210.46,0,240.33
İstavrit (Horse Mackerel),Marmara Sea,11,324.0,19.49,2.2,2.74,15,86.73,0.37,52.68,15.28,16.46,21,1754.63,0,180.0
İstavrit (Horse Mackerel),Mediterranean Sea,10,227.35,13.56,1.98,2.69,2,100.0,0.33,46.82,13.65,20.54,26,5000.0,0,216.45
Çipura (Sea Bream),Black Sea,11,430.17,25.52,3.25,3.62,16,78.99,0.46,48.2,41.77,12.14,13,2461.87,0,180.0
Lüfer (Bluefish),Mediterranean Sea,7,547.97,33.89,3.81,4.57,17,85.84,0.37,48.82,21.56,17.49,24,2619.04,0,187.5
Çipura (Sea Bream),Aegean Sea,2,512.53,30.83,4.17,3.9,4,83.15,0.34,55.83,26.43,13.97,21,3861.67,0,235.24
Hamsi (Anchovy),Mediterranean Sea,10,120.35,6.98,0.61,0.9,14,98.77,0.31,30.78,62.78,23.7,11,1038.55,0,208.08
Levrek (Sea Bass),Mediterranean Sea,12,598.61,34.86,5.22,4.62,15,89.29,0.44,54.56,56.21,18.32,12,854.52,0,218.45
Çipura (Sea Bream),Marmara Sea,9,442.75,25.49,3.7,3.29,9,90.07,0.62,37.87,48.88,14.83,12,1218.08,0,331.86
Kalkan (Turbot),Aegean Sea,5,736.02,41.27,5.99,5.84,4,93.32,0.5,74.26,25.98,23.6,22,4321.51,0,277.48
Kalkan (Turbot),Aegean Sea,4,713.69,40.27,5.64,5.34,4,87.99,0.55,56.59,39.96,21.45,13,1506.27,0,332.67
Lüfer (Bluefish),Aegean Sea,10,601.18,35.9,4.68,4.65,11,97.53,0.86,58.5,22.45,16.12,23,3647.28,0,348.61
Levrek (Sea Bass),Black Sea,5,409.08,25.78,3.09,3.45,15,82.51,0.44,44.72,78.78,20.56,10,1591.65,0,180.0
İstavrit (Horse Mackerel),Mediterranean Sea,10,265.25,16.33,2.35,2.46,5,96.42,0.4,43.12,57.54,23.28,14,2330.69,0,199.19
Palamut (Bonito),Marmara Sea,4,675.03,39.83,5.28,5.56,1,100.0,0.54,73.67,35.34,24.07,18,2676.87,0,330.26
İstavrit (Horse Mackerel),Mediterranean Sea,7,223.77,13.1,1.79,2.01,7,87.53,0.57,37.14,61.2,23.6,12,2158.36,0,274.98
Çipura (Sea Bream),Black Sea,4,389.43,23.19,2.88,2.8,15,100.0,0.47,35.4,34.71,20.96,20,2923.76,0,235.49
Çipura (Sea Bream),Mediterranean Sea,6,487.63,30.87,4.37,3.69,7,100.0,0.97,44.88,69.43,21.98,10,873.16,0,438.61
Levrek (Sea Bass),Mediterranean Sea,1,540.69,32.04,4.93,4.74,10,94.44,0.3,42.04,66.26,17.21,12,2246.26,0,217.94
Kalkan (Turbot),Mediterranean Sea,5,640.62,39.27,4.65,4.13,7,91.39,0.66,52.5,74.33,26.22,12,1116.54,0,389.69
Palamut (Bonito),Mediterranean Sea,1,765.14,45.9,5.84,5.56,3,98.3,0.54,75.15,9.66,18.01,25,1962.72,0,362.54
Kalkan (Turbot),Black Sea,10,779.03,43.06,5.86,5.97,18,75.48,0.68,61.36,25.95,12.23,23,5000.0,0,187.75
Palamut (Bonito),Black Sea,2,740.7,41.37,5.82,6.07,8,95.0,0.46,64.65,53.29,17.11,15,2277.09,0,314.07
Hamsi (Anchovy),Mediterranean Sea,10,169.89,11.48,2.11,2.06,15,70.22,0.41,31.2,7.74,16.68,27,5000.0,0,180.0
Hamsi (Anchovy),Marmara Sea,8,177.82,11.76,1.21,1.95,2,95.97,0.39,47.88,32.69,13.79,23,2443.87,0,251.48
Hamsi (Anchovy),Aegean Sea,8,156.7,12.13,1.3,1.28,6,90.17,0.63,44.49,46.75,12.06,17,1712.52,0,305.63
Hamsi (Anchovy),Mediterranean Sea,3,132.33,7.14,0.42,0.47,5,100.0,0.63,24.02,7.0,22.65,26,3441.81,0,279.16
Palamut (Bonito),Black Sea,11,721.23,42.94,5.29,5.41,16,80.06,0.69,54.41,33.84,14.61,17,2342.12,0,288.31
Çipura (Sea Bream),Black Sea,5,427.65,25.34,4.13,3.62,4,82.77,0.61,60.79,46.31,15.14,18,2068.2,0,277.41
Palamut (Bonito),Marmara Sea,4,507.19,28.33,3.67,4.01,1,79.45,0.35,42.57,54.53,21.52,16,1756.41,0,310.61
Lüfer (Bluefish),Marmara Sea,7,551.71,29.44,4.87,3.88,7,94.54,0.63,57.07,53.02,20.94,15,2242.81,0,315.53
Kalkan (Turbot),Black Sea,6,719.83,38.68,5.11,5.99,18,80.32,0.52,60.98,10.24,10.03,28,2282.4,0,237.13
Lüfer (Bluefish),Mediterranean Sea,8,564.41,32.27,4.42,3.65,6,100.0,0.63,48.92,55.97,17.18,11,1891.65,0,345.3
Çipura (Sea Bream),Mediterranean Sea,1,437.95,28.81,3.68,3.06,13,92.71,0.4,53.17,58.96,16.44,10,1031.34,0,203.87
Lüfer (Bluefish),Marmara Sea,1,468.75,30.03,3.57,4.42,16,89.82,0.7,40.86,28.0,15.68,20,3231.53,0,224.68
Çipura (Sea Bream),Black Sea,10,549.52,32.49,4.27,4.96,8,97.4,0.73,64.12,58.72,8.27,10,887.5,0,397.65
Hamsi (Anchovy),Marmara Sea,1,128.11,10.75,1.78,1.59,15,97.68,0.96,28.3,64.32,20.45,10,1121.16,0,369.09
İstavrit (Horse Mackerel),Marmara Sea,10,227.36,12.77,1.52,0.82,14,89.75,0.44,51.12,26.63,19.68,22,3133.35,0,202.02
Çipura (Sea Bream),Marmara Sea,5,524.3,31.56,4.62,4.59,16,92.14,0.59,46.17,8.06,13.22,28,3524.42,0,230.77
Lüfer (Bluefish),Aegean Sea,2,698.96,42.34,4.96,5.87,5,100.0,0.73,54.74,44.99,14.24,15,2752.13,0,393.75
Kalkan (Turbot),Black Sea,3,734.24,42.05,5.91,6.32,18,80.65,0.42,58.57,48.29,21.18,17,1679.32,0,186.4
Kalkan (Turbot),Black Sea,1,754.59,44.09,6.49,6.37,1,94.04,0.49,71.28,60.89,15.59,11,1817.5,0,367.35
Palamut (Bonito),Black Sea,8,644.47,35.49,5.5,5.01,3,100.0,0.32,56.9,74.47,9.29,10,1309.95,0,321.91
Çipura (Sea Bream),Aegean Sea,7,411.2,23.01,3.83,3.25,12,100.0,0.83,38.51,35.33,24.63,18,3403.43,0,334.07
Palamut (Bonito),Black Sea,10,687.01,42.01,5.94,5.51,14,81.9,0.65,52.47,72.49,8.69,10,1285.77,0,329.68
Lüfer (Bluefish),Mediterranean Sea,4,673.5,40.16,4.73,4.86,17,82.78,0.57,69.92,57.26,20.46,15,2336.54,0,266.45
İstavrit (Horse Mackerel),Marmara Sea,3,393.38,22.96,3.1,3.4,3,99.7,0.48,48.62,20.64,13.9,22,3366.77,0,287.28
Lüfer (Bluefish),Aegean Sea,11,598.31,36.68,4.56,5.35,15,80.61,0.91,49.03,76.06,20.56,10,735.64,0,367.01
Lüfer (Bluefish),Mediterranean Sea,7,484.36,26.47,3.21,3.78,6,96.51,0.6,46.77,18.59,22.0,21,4038.31,0,238.58
Lüfer (Bluefish),Black Sea,3,493.56,28.65,3.94,3.93,8,89.09,0.54,57.71,32.46,20.17,18,3584.58,0,237.14
İstavrit (Horse Mackerel),Aegean Sea,2,304.91,17.13,2.01,2.25,2,77.3,0.67,35.19,50.88,16.46,15,2302.71,0,340.4
Levrek (Sea Bass),Marmara Sea,4,551.1,32.33,4.21,4.12,1,96.45,0.51,57.29,13.14,12.72,27,3397.61,0,297.77
Levrek (Sea Bass),Black Sea,4,503.1,29.38,4.83,4.47,16,95.22,0.49,57.49,44.03,21.29,19,2823.89,0,215.42
Çipura (Sea Bream),Mediterranean Sea,9,589.03,31.96,5.36,4.71,1,79.56,0.39,60.76,28.41,27.49,22,2593.23,0,324.92
Levrek (Sea Bass),Mediterranean Sea,11,612.86,33.85,5.34,4.46,14,93.83,0.47,48.48,54.77,21.97,15,2671.92,0,221.36
Çipura (Sea Bream),Marmara Sea,4,584.23,33.78,3.95,4.73,6,87.49,0.47,56.47,56.32,18.47,10,1245.15,0,257.87
İstavrit (Horse Mackerel),Mediterranean Sea,12,290.15,18.57,2.72,2.75,15,98.56,0.44,32.9,21.41,24.85,24,5000.0,0,180.0
Hamsi (Anchovy),Aegean Sea,4,122.9,8.36,0.87,1.53,5,100.0,0.55,45.91,68.32,19.0,10,812.99,0,247.56
Hamsi (Anchovy),Mediterranean Sea,1,169.83,10.35,1.56,1.84,7,100.0,0.87,47.37,13.89,19.98,28,5000.0,0,311.85
Kalkan (Turbot),Marmara Sea,8,750.92,39.8,5.89,6.17,1,97.18,0.58,66.02,46.59,15.11,16,1802.36,0,381.99
Kalkan (Turbot),Black Sea,5,773.82,42.39,5.95,5.97,11,79.2,0.69,69.01,76.33,20.37,10,1793.02,0,367.68
Lüfer (Bluefish),Mediterranean Sea,11,509.82,32.85,4.32,5.24,17,81.8,0.81,65.36,71.81,24.56,10,780.48,0,303.72
İstavrit (Horse Mackerel),Aegean Sea,9,207.75,12.72,2.29,1.97,5,100.0,0.68,46.74,76.05,22.53,10,977.43,0,301.5
Hamsi (Anchovy),Marmara Sea,5,170.34,10.76,1.06,1.23,12,79.44,0.72,36.78,23.99,17.34,21,3205.33,0,266.27
Hamsi (Anchovy),Mediterranean Sea,2,147.67,9.22,1.44,1.3,6,93.75,0.94,27.99,27.91,25.87,22,2549.18,0,358.75
Kalkan (Turbot),Mediterranean Sea,9,785.05,43.75,5.81,5.59,18,100.0,0.49,71.79,73.4,19.22,10,850.53,0,250.46
İstavrit (Horse Mackerel),Aegean Sea,1,324.11,18.98,2.67,2.52,14,90.8,0.42,45.56,13.74,15.45,24,3855.53,0,200.72
Çipura (Sea Bream),Marmara Sea,11,400.75,20.97,3.01,3.27,11,85.42,0.51,47.64,50.65,19.69,12,1849.72,0,272.08
Çipura (Sea Bream),Mediterranean Sea,9,587.52,33.96,5.56,4.74,3,99.2,0.7,56.43,41.02,22.27,15,2750.9,0,404.48
Kalkan (Turbot),Aegean Sea,7,641.27,35.3,5.37,5.72,1,94.85,0.53,49.89,39.17,18.58,18,3736.47,0,330.65
Lüfer (Bluefish),Mediterranean Sea,6,499.2,26.63,4.25,3.85,11,94.17,0.31,64.92,13.49,24.62,23,2112.78,0,229.5
Çipura (Sea Bream),Aegean Sea,7,423.75,24.03,2.54,4.29,4,100.0,0.92,46.42,24.39,19.4,23,4063.02,0,364.29
